iter	Passed	Remaining
606	10528	6816
607	10547	6800
608	10565	6783
609	10583	6766
610	10601	6749
611	10619	6732
612	10638	6716
613	10656	6699
614	10673	6681
615	10691	6664
616	10709	6647
617	10727	6630
618	10744	6613
619	10760	6595
620	10777	6577
621	10794	6559
622	10811	6542
623	10827	6524
624	10844	6506
625	10861	6488
626	10877	6470
627	10893	6453
628	10910	6435
629	10925	6416
630	10942	6399
631	10959	6381
632	10975	6363
633	10992	6345
634	11008	6327
635	11024	6309
636	11041	6292
637	11058	6274
638	11075	6256
639	11091	6239
640	11108	6221
641	11125	6203
642	11141	6185
643	11158	6168
644	11175	6150
645	11191	6132
646	11208	6115
647	11224	6097
648	11240	6079
649	11257	6061
650	11274	6044
651	11291	6026
652	11308	6009
653	11324	5991
654	11341	5973
655	11358	5956
656	11375	5938
657	11391	5921
658	11408	5903
659	11425	5885
660	11441	5867
661	11458	5850
662	11474	5832
663	11491	5815
664	11508	5797
665	11525	5780
666	11542	5762
667	11558	5744
668	11575	5727
669	11591	5709
670	11608	5691
671	11624	5674
672	11641	5656
673	11658	5638
674	11674	5621
675	11691	5603
676	11708	5586
677	11724	5568
678	11741	5550
679	11758	5533
680	11774	5515
681	11791	5498
682	11808	5480
683	11824	5463
684	11841	5445
685	11859	5428
686	11875	5410
687	11892	5392
688	11908	5375
689	11924	5357
690	11941	5339
691	11957	5322
692	11974	5304
693	11990	5286
694	12007	5269
695	12023	5251
696	12039	5233
697	12056	5216
698	12073	5198
699	12089	5181
700	12105	5163
701	12122	5145
702	12137	5128
703	12155	5110
704	12172	5093
705	12188	5075
706	12204	5057
707	12220	5040
708	12237	5022
709	12254	5005
710	12271	4987
711	12287	4970
712	12304	4952
713	12321	4935
714	12338	4918
715	12356	4901
716	12372	4883
717	12388	4865
718	12404	4847
719	12420	4830
720	12437	4812
721	12454	4795
722	12470	4777
723	12486	4759
724	12502	4742
725	12519	4725
726	12539	4708
727	12557	4691
728	12575	4674
729	12592	4657
730	12610	4640
