iter	Passed	Remaining
541	33946	28685
542	33994	28610
543	34067	28556
544	34122	28487
545	34182	28422
546	34252	28366
547	34307	28297
548	34369	28234
549	34426	28167
550	34486	28102
551	34537	28030
552	34615	27980
553	34687	27925
554	34754	27866
555	34813	27800
556	34875	27737
557	34941	27677
558	34999	27611
559	35063	27549
560	35128	27488
561	35178	27416
562	35248	27359
563	35304	27292
564	35365	27228
565	35459	27189
566	35516	27123
567	35570	27053
568	35634	26991
569	35698	26930
570	35754	26863
571	35820	26802
572	35881	26739
573	35944	26676
574	36015	26620
575	36081	26559
576	36142	26496
577	36204	26432
578	36264	26368
579	36311	26294
580	36383	26238
581	36443	26174
582	36502	26108
583	36566	26047
584	36617	25976
585	36680	25914
586	36752	25858
587	36818	25798
588	36873	25729
589	36935	25667
590	36989	25598
591	37051	25535
592	37107	25468
593	37167	25404
594	37241	25349
595	37315	25294
596	37384	25235
597	37434	25164
598	37506	25108
599	37570	25047
600	37628	24981
601	37691	24919
602	37757	24858
603	37819	24795
604	37884	24734
605	37946	24671
606	38001	24603
607	38062	24539
608	38129	24480
609	38196	24420
610	38266	24362
611	38330	24300
612	38391	24237
613	38455	24175
614	38506	24105
615	38568	24042
616	38630	23979
617	38692	23916
618	38758	23855
619	38820	23793
620	38875	23725
621	38942	23666
622	38996	23598
623	39057	23534
624	39160	23496
625	39221	23432
626	39296	23377
627	39368	23320
628	39434	23259
629	39500	23198
630	39558	23133
631	39620	23070
632	39686	23009
633	39748	22946
634	39818	22887
635	39886	22827
636	39948	22764
637	40002	22697
638	40065	22634
639	40131	22574
640	40195	22511
641	40257	22448
642	40310	22381
643	40368	22315
644	40432	22253
645	40495	22190
646	40554	22126
647	40629	22070
648	40691	22007
649	40747	21940
650	40818	21882
651	40883	21821
652	40938	21754
653	41001	21691
654	41059	21626
655	41126	21566
656	41183	21500
657	41245	21437
658	41300	21370
659	41370	21311
660	41426	21245
661	41490	21184
662	41555	21122
663	41614	21057
664	41685	20999
665	41739	20932
666	41807	20872
667	41868	20809
668	41931	20746
669	41984	20678
670	42051	20618
671	42118	20557
672	42183	20496
673	42238	20430
674	42297	20365
675	42357	20301
676	42420	20238
677	42489	20179
678	42547	20114
679	42598	20046
680	42666	19986
681	42737	19927
682	42793	19861
683	42857	19799
684	42934	19743
685	43005	19684
686	43070	19623
687	43127	19557
688	43188	19494
689	43226	19420
690	43297	19361
691	43362	19300
692	43418	19234
693	43480	19171
694	43540	19107
695	43601	19044
696	43667	18983
697	43723	18917
698	43788	18856
699	43851	18793
700	43909	18729
701	43988	18673
702	44073	18619
703	44152	18563
704	44208	18498
705	44265	18433
706	44324	18369
707	44392	18308
708	44464	18249
